Code,Name,Exchange,Type,Source
#sh600693,东百集团,SHH,Stocks,ak
#sh600694,大商股份,SHH,Stocks,ak
#sh600695,绿庭投资,SHH,Stocks,ak
#sh600696,ST岩石,SHH,Stocks,ak
#sh600697,欧亚集团,SHH,Stocks,ak
#sh600698,ST天雁,SHH,Stocks,ak
#sh600699,均胜电子,SHH,Stocks,ak
#sh600701,退市工新,SHH,Stocks,ak
#sh600702,ST舍得,SHH,Stocks,ak
#sh600703,三安光电,SHH,Stocks,ak
#sh600704,物产中大,SHH,Stocks,ak
#sh600705,中航资本,SHH,Stocks,ak
#sh600706,曲江文旅,SHH,Stocks,ak
#sh600707,彩虹股份,SHH,Stocks,ak
#sh600708,光明地产,SHH,Stocks,ak
#sh600710,苏美达,SHH,Stocks,ak
#sh600711,盛屯矿业,SHH,Stocks,ak
#sh600712,南宁百货,SHH,Stocks,ak
#sh600713,南京医药,SHH,Stocks,ak
#sh600714,金瑞矿业,SHH,Stocks,ak
